IMPORTANTE,cod_universidad,des_universidad,curso_academico,cod_campus,des_campus,cod_centro,des_centro,des_naturaleza_centro,des_tipo_estudio,cod_titulacion,des_titulacion,cod_comunidad_centro_sec,des_comunidad_centro_sec,cod_provincia_centro_sec,des_provincia_centro_sec,cod_municipio_centro_sec,des_municipio_centro_sec,lat_municipio_centro_sec,lon_municipio_centro_sec,cod_naturaleza_centro_sec,des_naturaleza_centro_sec,nota_admision,cod_pais_fin_estudio_acceso,des_pais_fin_estudio_acceso,lat_pais_fin_estudio_acceso,lon_pais_fin_estudio_acceso,cod_continente_fin_estudio_acceso,des_continente_fin_estudio_acceso,cod_agregacion_paises_fin_estudio_acceso,des_agregacion_paises_fin_estudio_acceso,des_estudio_acceso,des_especialidad_acceso,des_tipo_especialidad_acceso,des_ocupacion_estudiante,anio_fin_estudio_acceso,des_forma_admision,ind_accede_al_SUE_por_1a_vez,anio_acceso_SUE,ind_se_matricula_en_primero,ind_curso_adaptacion,anio_nacimiento,cod_pais_nacionalidad,des_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,cod_pais_residencia,des_pais_residencia,lat_pais_residencia,lon_pais_residencia,cod_continente_residencia,des_continente_residencia,cod_agregacion_paises_residencia,des_agregacion_paises_residencia,des_dedicacion,des_genero,des_familia_numerosa,des_nivel_estudios_madre,des_ocupacion_madre,des_nivel_estudios_padre,des_ocupacion_padre
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03602,Getafe,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas-Getafe,Publico,Grado,7000000,DOBLE-GRADO-EN-DERECHO-Y-ADMINISTRACION-DE-EMPRESAS,,,,,,,,,,,13.5,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Mujer,Familia-numerosa-general,Estudios-Superiores,,Estudios-Superiores,Directores-y-gerentes
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03602,Getafe,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas-Getafe,Publico,Grado,7000000,DOBLE-GRADO-EN-DERECHO-Y-ADMINISTRACION-DE-EMPRESAS,,,,,,,,,,,13.318,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2001,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Mujer,No,Estudios-Superiores,Amos-de-casa,Estudios-Superiores,Tecnicos-y-profesionales-cientificos-e-intelectuales
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03602,Getafe,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas-Getafe,Publico,Grado,7000000,DOBLE-GRADO-EN-DERECHO-Y-ADMINISTRACION-DE-EMPRESAS,,,,,,,,,,,12.754,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Mujer,No,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03602,Getafe,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas-Getafe,Publico,Grado,7000000,DOBLE-GRADO-EN-DERECHO-Y-ADMINISTRACION-DE-EMPRESAS,,,,,,,,,,,12.752,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2001,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Mujer,No,Estudios-Secundarios,Empleados-de-tipo-contable-y-administrativo,Estudios-Superiores,Directores-y-gerentes
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03602,Getafe,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas-Getafe,Publico,Grado,7000000,DOBLE-GRADO-EN-DERECHO-Y-ADMINISTRACION-DE-EMPRESAS,,,,,,,,,,,13,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Mujer,No,Estudios-Superiores,Trabajadores-de-los-servicios-de-restauracion-personales-proteccion-y-vendedores-de-los-comercios,Estudios-Primarios,Otra-situacion-Rentistas
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503904,GRADO-EN-MATEMATICA-APLICADA-Y-COMPUTACION,,,,,,,,,,,13.563,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Superiores,Tecnicos-y-profesionales-de-apoyo,Estudios-Superiores,Tecnicos-y-profesionales-cientificos-e-intelectuales
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503904,GRADO-EN-MATEMATICA-APLICADA-Y-COMPUTACION,,,,,,,,,,,13.043,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,192,Cuba,21.521757,-77.781167,019,Americas,419,America-Latina-y-el-Caribe,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,Familia-numerosa-general,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503904,GRADO-EN-MATEMATICA-APLICADA-Y-COMPUTACION,,,,,,,,,,,13.814,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2001,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,Familia-numerosa-general,Estudios-Superiores,Directores-y-gerentes,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503904,GRADO-EN-MATEMATICA-APLICADA-Y-COMPUTACION,,,,,,,,,,,,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503904,GRADO-EN-MATEMATICA-APLICADA-Y-COMPUTACION,,,,,,,,,,,13.102,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,192,Cuba,21.521757,-77.781167,019,Americas,419,America-Latina-y-el-Caribe,Tiempo-completo,Hombre,No,Estudios-Superiores,Jubilado,Estudios-Primarios,Jubilado
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503904,GRADO-EN-MATEMATICA-APLICADA-Y-COMPUTACION,,,,,,,,,,,13.264,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,,,Estudios-Superiores,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503904,GRADO-EN-MATEMATICA-APLICADA-Y-COMPUTACION,,,,,,,,,,,12.967,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,1992,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Superiores,,Estudios-Secundarios,Ocupaciones-militares
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503904,GRADO-EN-MATEMATICA-APLICADA-Y-COMPUTACION,,,,,,,,,,,12.959,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Secundarios,,Estudios-Superiores,Tecnicos-y-profesionales-cientificos-e-intelectuales
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503904,GRADO-EN-MATEMATICA-APLICADA-Y-COMPUTACION,,,,,,,,,,,7.24,,,,,,,,,,,,,,Estudiantes-procedentes-de-sistemas-miembros-de-la-Union-Europea-o-de-otros-Estados-con-los-que-Espania-haya-suscrito-Acuerdos-Internacionales-a-este-respecto-que-cumplan-los-requisitos-exigidos-en-su-respectivo-pais-para-el-acceso-a-la-universidad.,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Superiores,Otra-situacion-Rentistas,Estudios-Superiores,Directores-y-gerentes
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503904,GRADO-EN-MATEMATICA-APLICADA-Y-COMPUTACION,,,,,,,,,,,12.839,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,false,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,,,Estudios-Superiores,Jubilado
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503904,GRADO-EN-MATEMATICA-APLICADA-Y-COMPUTACION,,,,,,,,,,,13.115,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,1974,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Superiores,Directores-y-gerentes,Estudios-Superiores,Directores-y-gerentes
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503904,GRADO-EN-MATEMATICA-APLICADA-Y-COMPUTACION,,,,,,,,,,,13.925,,,,,,,,,,,,Directores-y-gerentes,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2001,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Superiores,Tecnicos-y-profesionales-cientificos-e-intelectuales,Estudios-Superiores,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503904,GRADO-EN-MATEMATICA-APLICADA-Y-COMPUTACION,,,,,,,,,,,12.894,,,,,,,,,,,,,,Por-poseer-otro-titulo-universitario-o-titulo-equivalente,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Superiores,Tecnicos-y-profesionales-cientificos-e-intelectuales,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503904,GRADO-EN-MATEMATICA-APLICADA-Y-COMPUTACION,,,,,,,,,,,13.29,,,,,,,,,,,,,,Estudios-procedentes-de-sistemas-educativos-extranjeros-previa-solicitud-de-homologacion-del-titulo-de-origen-al-titulo-espaniol-de-bachiller,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Superiores,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503904,GRADO-EN-MATEMATICA-APLICADA-Y-COMPUTACION,,,,,,,,,,,13.094,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,Familia-numerosa-general,Estudios-Superiores,Amos-de-casa,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503904,GRADO-EN-MATEMATICA-APLICADA-Y-COMPUTACION,,,,,,,,,,,13.335,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,,,Estudios-Superiores,Tecnicos-y-profesionales-cientificos-e-intelectuales
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503904,GRADO-EN-MATEMATICA-APLICADA-Y-COMPUTACION,,,,,,,,,,,13.7,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,,,Estudios-Superiores,Jubilado
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503783,GRADO-EN-CIENCIA-E-INGENIERIA-DE-DATOS,,,,,,,,,,,12.81,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Superiores,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503783,GRADO-EN-CIENCIA-E-INGENIERIA-DE-DATOS,,,,,,,,,,,12.516,,,,,,,,,,,,,,Estudiantes-procedentes-de-sistemas-miembros-de-la-Union-Europea-o-de-otros-Estados-con-los-que-Espania-haya-suscrito-Acuerdos-Internacionales-a-este-respecto-que-cumplan-los-requisitos-exigidos-en-su-respectivo-pais-para-el-acceso-a-la-universidad.,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,Familia-numerosa-especial,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503783,GRADO-EN-CIENCIA-E-INGENIERIA-DE-DATOS,,,,,,,,,,,13.357,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Superiores,,Estudios-Secundarios,Directores-y-gerentes
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503783,GRADO-EN-CIENCIA-E-INGENIERIA-DE-DATOS,,,,,,,,,,,12.702,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Secundarios,Empleados-de-tipo-contable-y-administrativo,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503783,GRADO-EN-CIENCIA-E-INGENIERIA-DE-DATOS,,,,,,,,,,,13.151,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,Familia-numerosa-general,Estudios-Superiores,,Estudios-Superiores,Parado
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503783,GRADO-EN-CIENCIA-E-INGENIERIA-DE-DATOS,,,,,,,,,,,13.232,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,620,Portugal,39.399872,-8.224454,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Superiores,Directores-y-gerentes,Estudios-Superiores,Empleados-de-tipo-contable-y-administrativo
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503783,GRADO-EN-CIENCIA-E-INGENIERIA-DE-DATOS,,,,,,,,,,,12.881,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503783,GRADO-EN-CIENCIA-E-INGENIERIA-DE-DATOS,,,,,,,,,,,12.904,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2000,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,,,Estudios-Superiores,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03601,Leganes,28042292,Escuela-Politecnica-Superior-Leganes,Publico,Grado,2503783,GRADO-EN-CIENCIA-E-INGENIERIA-DE-DATOS,,,,,,,,,,,12.944,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,Familia-numerosa-general,,,Estudios-Superiores,Tecnicos-y-profesionales-cientificos-e-intelectuales
